model,metric_dataset,r2,mae,mse,bigInference
const.model,['..',_,'ssd.csv']-r2-mse-1.4063284702579493,392342.8178947297,263390165055.9516,cost:2.1480069160461426
all_misc.model,['..',_,'ssd.csv']-r2-mse0.700177116396001,82481.95358695759,32817796812.063374,cost:3.8151042461395264
tps_5_model,['..',_,'ssd.csv']-r2-mse-1.3958300950127156,391539.940722713,262241041475.01126,cost:11.60932731628418
ssd_tps_5_model,['..',_,'ssd.csv']-r2-mse-1.3959880609953057,391568.16142664425,262258332001.52997,cost:11.665067195892334
hdd_tps_5_model,['..',_,'ssd.csv']-r2-mse-1.4042636262584027,392179.6643299898,263164152851.64224,cost:11.744912385940552
ssd_await_5_model,['..',_,'ssd.csv']-r2-mse-1.4061981702180506,392336.76538388774,263375902768.22156,cost:11.529439687728882
hdd_await_5_model,['..',_,'ssd.csv']-r2-mse-1.4057685385068526,392342.10484156496,263328876450.44144,cost:11.296552181243896
nvme_await_5_model,['..',_,'ssd.csv']-r2-mse-1.4058699971573443,392350.74238501536,263339981838.1845,cost:11.756872177124023
nvme_tps_5_model,['..',_,'ssd.csv']-r2-mse-1.3778241602965418,389380.2383662773,260270160867.68866,cost:11.469845294952393
nvme_tps_5_model,['..',_,'ssd.csv']-r2-mse-1.3770278599756423,389384.2695454052,260183000001.85168,cost:11.488148927688599
nvme_await_5_model,['..',_,'ssd.csv']-r2-mse-1.4046878064849593,392210.8738121495,263210582464.7508,cost:11.365818977355957
hdd_tps_5_model,['..',_,'ssd.csv']-r2-mse-1.4042816501467548,392183.35574002,263166125697.40567,cost:11.517727136611938
ssd_tps_5_model,['..',_,'ssd.csv']-r2-mse-1.3957740682287803,391520.05619965616,262234908935.72964,cost:11.75886583328247
hdd_await_5_model,['..',_,'ssd.csv']-r2-mse-1.405922537499984,392369.40755253006,263345732761.0909,cost:11.653777599334717
ssd_await_5_model,['..',_,'ssd.csv']-r2-mse-1.406235795242147,392337.52028097614,263380021100.95523,cost:11.484211444854736
ssd_svctm_5_model,['..',_,'ssd.csv']-r2-mse-1.4063259335195224,392342.57828791626,263389887391.46762,cost:11.511259078979492
nvme_svctm_5_model,['..',_,'ssd.csv']-r2-mse-1.406308854095125,392341.1920618706,263388017924.15808,cost:11.735496997833252
hdd_svctm_5_model,['..',_,'ssd.csv']-r2-mse-1.4063054253177731,392340.717826246,263387642619.52127,cost:11.6992506980896
hdd_rd_secps_5_model,['..',_,'ssd.csv']-r2-mse-0.5182279083369705,293468.96566003916,166181094689.2718,cost:11.407215118408203
ssd_rd_secps_5_model,['..',_,'ssd.csv']-r2-mse-0.382423351469543,282160.27152734797,151316297513.5031,cost:11.47868275642395
nvme_rd_secps_5_model,['..',_,'ssd.csv']-r2-mse-0.42349415256807554,284536.32524805673,155811795619.44666,cost:11.689658403396606
ssd_%util_5_model,['..',_,'ssd.csv']-r2-mse-1.405640763109441,392270.7670173796,263314890503.2068,cost:11.501574039459229
nvme_%util_5_model,['..',_,'ssd.csv']-r2-mse-1.4056470191860497,392285.95657514926,263315575276.32523,cost:11.554660320281982
hdd_%util_5_model,['..',_,'ssd.csv']-r2-mse-1.4056468645430025,392291.2646441121,263315558349.51813,cost:11.485844373703003
hdd_wr_secps_5_model,['..',_,'ssd.csv']-r2-mse-1.3329024217344871,384445.03351830604,255353149628.07532,cost:11.385300397872925
nvme_wr_secps_5_model,['..',_,'ssd.csv']-r2-mse-1.402686059070478,392037.59955286834,262991476640.91284,cost:11.283044576644897
ssd_wr_secps_5_model,['..',_,'ssd.csv']-r2-mse-1.4021197274329267,391697.954176502,262929487521.24994,cost:11.38491702079773
