model,metric_dataset,r2,mae,mse,bigInference
hdd_wr_secps_5_model,ssd.csv_inference,nan,754.9515380859375,569951.8248583227,0.06503653526306152
nvme_wr_secps_5_model,ssd.csv_inference,nan,496.9105529785156,246920.09766141418,0.061110496520996094
nvme_wr_secps_5_model,ssd.csv_inference,nan,496.9105529785156,246920.09766141418,0.06161904335021973
ssd_wr_secps_5_model,ssd.csv_inference,nan,591.2227630615234,349544.3555621023,0.07595658302307129
ssd_wr_secps_5_model,ssd.csv_inference,nan,591.2227630615234,349544.3555621023,0.07385659217834473
ssd_Avgrq_sz_5_model,ssd.csv_inference,nan,152.869873046875,23369.19808536768,0.06238245964050293
ssd_Avgrq_sz_5_model,ssd.csv_inference,nan,152.869873046875,23369.19808536768,0.06543231010437012
hdd_Avgrq_sz_5_model,ssd.csv_inference,nan,211.203125,44606.760009765625,0.06186842918395996
hdd_Avgrq_sz_5_model,ssd.csv_inference,nan,211.203125,44606.760009765625,0.07339811325073242
nvme_Avgrq_sz_5_model,ssd.csv_inference,nan,83.54888916015625,6980.4168798960745,0.07289290428161621
nvme_Avgrq_sz_5_model,ssd.csv_inference,nan,83.54888916015625,6980.4168798960745,0.06293678283691406
