model,metric_dataset,r2,mae,mse,bigInference
optimized.model,tps__tps__ssd.csv,nan,210.48895263671875,44305.59918210283,0.07351183891296387
optimized.model,tps__tps__ssd.csv,nan,210.48895263671875,44305.59918210283,0.07798004150390625
convex.model,tps__tps__ssd.csv,nan,462.1694030761719,213600.55713978503,0.0645442008972168
convex.model,tps__tps__ssd.csv,nan,462.1694030761719,213600.55713978503,0.06454586982727051
50_50_LSTM.model,tps__tps__ssd.csv,nan,723.8445434570312,523950.923092518,0.06299448013305664
50_50_LSTM.model,tps__tps__ssd.csv,nan,723.8445434570312,523950.923092518,0.06370282173156738
concave.model,tps__tps__ssd.csv,nan,520.8109436035156,271244.03897718433,0.06285762786865234
concave.model,tps__tps__ssd.csv,nan,520.8109436035156,271244.03897718433,0.06329488754272461
sin.model,tps__tps__ssd.csv,nan,240.23797607421875,57714.2851482369,0.06412339210510254
sin.model,tps__tps__ssd.csv,nan,240.23797607421875,57714.2851482369,0.06382489204406738
trend_up.model,tps__tps__ssd.csv,nan,486.6602478027344,236838.19679141883,0.08328413963317871
trend_up.model,tps__tps__ssd.csv,nan,486.6602478027344,236838.19679141883,0.06327271461486816
all_model.model,tps__tps__ssd.csv,nan,305.2181701660156,93158.13139949087,0.06983017921447754
all_model.model,tps__tps__ssd.csv,nan,305.2181701660156,93158.13139949087,0.05558514595031738
trend_down.model,tps__tps__ssd.csv,nan,792.0,627264.0,0.06128358840942383
trend_down.model,tps__tps__ssd.csv,nan,792.0,627264.0,0.0748898983001709
optimized+misc.model,tps__tps__ssd.csv,nan,153.86236572265625,23673.627585772425,0.0691220760345459
optimized+misc.model,tps__tps__ssd.csv,nan,153.86236572265625,23673.627585772425,0.061202287673950195
const.model,tps__tps__ssd.csv,nan,792.0,627264.0,0.06435632705688477
const.model,tps__tps__ssd.csv,nan,792.0,627264.0,0.08682823181152344
all_misc.model,tps__tps__ssd.csv,nan,226.4046630859375,51259.07146705687,0.07671856880187988
all_misc.model,tps__tps__ssd.csv,nan,226.4046630859375,51259.07146705687,0.06803441047668457
tps_5_model,tps__tps__ssd.csv,nan,15.25494384765625,232.71331179514527,0.06178140640258789
tps_5_model,tps__tps__ssd.csv,nan,15.25494384765625,232.71331179514527,0.06581497192382812
ssd_tps_5_model,tps__tps__ssd.csv,nan,5.98114013671875,35.77403733506799,0.06419777870178223
ssd_tps_5_model,tps__tps__ssd.csv,nan,5.98114013671875,35.77403733506799,0.06082510948181152
hdd_tps_5_model,tps__tps__ssd.csv,nan,494.99407958984375,245019.13882899657,0.06057095527648926
hdd_tps_5_model,tps__tps__ssd.csv,nan,494.99407958984375,245019.13882899657,0.062155723571777344
ssd_await_5_model,tps__tps__ssd.csv,nan,613.1201019287109,375916.2593890729,0.0638883113861084
ssd_await_5_model,tps__tps__ssd.csv,nan,613.1201019287109,375916.2593890729,0.08502030372619629
hdd_await_5_model,tps__tps__ssd.csv,nan,440.2066650390625,193781.90794481337,0.06295156478881836
hdd_await_5_model,tps__tps__ssd.csv,nan,440.2066650390625,193781.90794481337,0.07250571250915527
nvme_await_5_model,tps__tps__ssd.csv,nan,120.683349609375,14564.470872938633,0.061188697814941406
nvme_await_5_model,tps__tps__ssd.csv,nan,120.683349609375,14564.470872938633,0.06311202049255371
nvme_tps_5_model,tps__tps__ssd.csv,nan,1778.697021484375,3163763.094237387,0.0665748119354248
nvme_tps_5_model,tps__tps__ssd.csv,nan,1778.697021484375,3163763.094237387,0.06349754333496094
nvme_tps_5_model,tps__tps__ssd.csv,nan,573.4576416015625,328853.6667112261,0.062419891357421875
nvme_tps_5_model,tps__tps__ssd.csv,nan,573.4576416015625,328853.6667112261,0.06430554389953613
nvme_await_5_model,tps__tps__ssd.csv,nan,557.9579620361328,311317.0873995146,0.07278800010681152
nvme_await_5_model,tps__tps__ssd.csv,nan,557.9579620361328,311317.0873995146,0.06353640556335449
hdd_tps_5_model,tps__tps__ssd.csv,nan,496.1427001953125,246157.57895709574,0.06334781646728516
hdd_tps_5_model,tps__tps__ssd.csv,nan,496.1427001953125,246157.57895709574,0.06343269348144531
ssd_tps_5_model,tps__tps__ssd.csv,nan,2.62939453125,6.913715600967407,0.06433320045471191
ssd_tps_5_model,tps__tps__ssd.csv,nan,2.62939453125,6.913715600967407,0.07353901863098145
hdd_await_5_model,tps__tps__ssd.csv,nan,428.83990478515625,183903.66393614188,0.06180572509765625
hdd_await_5_model,tps__tps__ssd.csv,nan,428.83990478515625,183903.66393614188,0.06356477737426758
ssd_await_5_model,tps__tps__ssd.csv,nan,611.0279083251953,373355.1047522633,0.0659639835357666
ssd_await_5_model,tps__tps__ssd.csv,nan,611.0279083251953,373355.1047522633,0.07275819778442383
ssd_svctm_5_model,tps__tps__ssd.csv,nan,790.8618239164352,625462.4245284306,0.06299352645874023
ssd_svctm_5_model,tps__tps__ssd.csv,nan,790.8618239164352,625462.4245284306,0.06343793869018555
nvme_svctm_5_model,tps__tps__ssd.csv,nan,791.4723941087723,626428.5506362717,0.06378936767578125
nvme_svctm_5_model,tps__tps__ssd.csv,nan,791.4723941087723,626428.5506362717,0.06340479850769043
hdd_svctm_5_model,tps__tps__ssd.csv,nan,791.7401061058044,626852.3956164304,0.06408095359802246
hdd_svctm_5_model,tps__tps__ssd.csv,nan,791.7401061058044,626852.3956164304,0.0634620189666748
hdd_rd_secps_5_model,tps__tps__ssd.csv,nan,148411.34375,22025926953.680664,0.06374406814575195
hdd_rd_secps_5_model,tps__tps__ssd.csv,nan,148411.34375,22025926953.680664,0.06333684921264648
ssd_rd_secps_5_model,tps__tps__ssd.csv,nan,173998.140625,30275352940.957275,0.07268762588500977
