model,metric_dataset,r2,mae,mse,bigInference
optimized.model,tps__tps__ssd.csv,0.9458778027312997,1436.334403864342,11974509.942336084,3.0023913383483887
convex.model,tps__tps__ssd.csv,0.9769976758116533,855.842454392254,5089253.090053096,2.1054437160491943
concave.model,tps__tps__ssd.csv,0.9637178145575062,1005.0526089524404,8027415.963063279,2.1459407806396484
sin.model,tps__tps__ssd.csv,0.9522674646400617,1288.159419985654,10560800.338589348,2.240396499633789
trend_up.model,tps__tps__ssd.csv,0.942369802692852,1785.8256392242783,12750653.252437837,2.206059455871582
all_model.model,tps__tps__ssd.csv,0.9310463303388119,1777.6525508335644,15255966.028488712,3.4452497959136963
trend_down.model,tps__tps__ssd.csv,0.9660865515326122,1078.2267315410343,7503334.054149519,2.322979211807251
optimized+misc.model,tps__tps__ssd.csv,0.9398160815269961,1547.5205063662493,13315662.823994523,2.9235353469848633
all_misc.model,tps__tps__ssd.csv,0.951673989211537,1276.8836245278537,10692106.489818217,3.522620439529419
hdd_wr_secps_5_model,tps__tps__ssd.csv,3.86007425897672e-05,12382.910390097382,221240975.45250538,11.036672592163086
optimized.model,tps__tps__ssd.csv,nan,210.48895263671875,44305.59918210283,0.07351183891296387
convex.model,tps__tps__ssd.csv,nan,462.1694030761719,213600.55713978503,0.0645442008972168
50_50_LSTM.model,tps__tps__ssd.csv,nan,723.8445434570312,523950.923092518,0.06299448013305664
concave.model,tps__tps__ssd.csv,nan,520.8109436035156,271244.03897718433,0.06285762786865234
sin.model,tps__tps__ssd.csv,nan,240.23797607421875,57714.2851482369,0.06412339210510254
trend_up.model,tps__tps__ssd.csv,nan,486.6602478027344,236838.19679141883,0.08328413963317871
all_model.model,tps__tps__ssd.csv,nan,305.2181701660156,93158.13139949087,0.06983017921447754
trend_down.model,tps__tps__ssd.csv,nan,792.0,627264.0,0.06128358840942383
optimized+misc.model,tps__tps__ssd.csv,nan,153.86236572265625,23673.627585772425,0.0691220760345459
const.model,tps__tps__ssd.csv,nan,792.0,627264.0,0.06435632705688477
all_misc.model,tps__tps__ssd.csv,nan,226.4046630859375,51259.07146705687,0.07671856880187988
tps_5_model,tps__tps__ssd.csv,nan,15.25494384765625,232.71331179514527,0.06178140640258789
ssd_tps_5_model,tps__tps__ssd.csv,nan,5.98114013671875,35.77403733506799,0.06419777870178223
hdd_tps_5_model,tps__tps__ssd.csv,nan,494.99407958984375,245019.13882899657,0.06057095527648926
ssd_await_5_model,tps__tps__ssd.csv,nan,613.1201019287109,375916.2593890729,0.0638883113861084
hdd_await_5_model,tps__tps__ssd.csv,nan,440.2066650390625,193781.90794481337,0.06295156478881836
nvme_await_5_model,tps__tps__ssd.csv,nan,120.683349609375,14564.470872938633,0.061188697814941406
nvme_tps_5_model,tps__tps__ssd.csv,nan,1778.697021484375,3163763.094237387,0.0665748119354248
nvme_tps_5_model,tps__tps__ssd.csv,nan,573.4576416015625,328853.6667112261,0.062419891357421875
nvme_await_5_model,tps__tps__ssd.csv,nan,557.9579620361328,311317.0873995146,0.07278800010681152
hdd_tps_5_model,tps__tps__ssd.csv,nan,496.1427001953125,246157.57895709574,0.06334781646728516
ssd_tps_5_model,tps__tps__ssd.csv,nan,2.62939453125,6.913715600967407,0.06433320045471191
hdd_await_5_model,tps__tps__ssd.csv,nan,428.83990478515625,183903.66393614188,0.06180572509765625
ssd_await_5_model,tps__tps__ssd.csv,nan,611.0279083251953,373355.1047522633,0.0659639835357666
ssd_svctm_5_model,tps__tps__ssd.csv,nan,790.8618239164352,625462.4245284306,0.06299352645874023
nvme_svctm_5_model,tps__tps__ssd.csv,nan,791.4723941087723,626428.5506362717,0.06378936767578125
hdd_svctm_5_model,tps__tps__ssd.csv,nan,791.7401061058044,626852.3956164304,0.06408095359802246
hdd_rd_secps_5_model,tps__tps__ssd.csv,nan,148411.34375,22025926953.680664,0.06374406814575195
ssd_rd_secps_5_model,tps__tps__ssd.csv,nan,173998.140625,30275352940.957275,0.07268762588500977
nvme_rd_secps_5_model,tps__tps__ssd.csv,nan,164226.0,26970179076.0,0.06470251083374023
ssd_%util_5_model,tps__tps__ssd.csv,nan,691.904426574707,478731.73551367415,0.0632028579711914
nvme_%util_5_model,tps__tps__ssd.csv,nan,701.8540649414062,492599.1284747757,0.06325817108154297
hdd_%util_5_model,tps__tps__ssd.csv,nan,692.3112487792969,479294.8651863495,0.06174969673156738
hdd_wr_secps_5_model,tps__tps__ssd.csv,nan,754.9515380859375,569951.8248583227,0.07660603523254395
nvme_wr_secps_5_model,tps__tps__ssd.csv,nan,496.9105529785156,246920.09766141418,0.06487512588500977
ssd_wr_secps_5_model,tps__tps__ssd.csv,nan,591.2227630615234,349544.3555621023,0.06490468978881836
ssd_Avgrq_sz_5_model,tps__tps__ssd.csv,nan,152.869873046875,23369.19808536768,0.0646982192993164
hdd_Avgrq_sz_5_model,tps__tps__ssd.csv,nan,211.203125,44606.760009765625,0.06744551658630371
nvme_Avgrq_sz_5_model,tps__tps__ssd.csv,nan,83.54888916015625,6980.4168798960745,0.06373095512390137
optimized.model,rd_sec/s__rd_sec/s__ssd.csv,0.6395330532008985,95261.90525706884,39455730914.5965,2.826860189437866
convex.model,rd_sec/s__rd_sec/s__ssd.csv,0.8427888408589324,57536.98916248464,17207905598.342728,2.326411724090576
concave.model,rd_sec/s__rd_sec/s__ssd.csv,0.7797747618430595,66511.85121996308,24105255182.15095,2.0847043991088867
sin.model,rd_sec/s__rd_sec/s__ssd.csv,0.7198993904748463,80066.3868263073,30659050369.459496,1.9826569557189941
trend_up.model,rd_sec/s__rd_sec/s__ssd.csv,0.7549877356469554,98450.16784679734,26818375606.786156,1.758070707321167
all_model.model,rd_sec/s__rd_sec/s__ssd.csv,0.6446951678718778,105063.55027383957,38890699892.42634,3.043370485305786
trend_down.model,rd_sec/s__rd_sec/s__ssd.csv,0.792927225707919,71438.32333813845,22665622284.533096,1.766209602355957
optimized+misc.model,rd_sec/s__rd_sec/s__ssd.csv,0.637065462580038,97253.81839192586,39725826667.92035,2.944021463394165
all_misc.model,rd_sec/s__rd_sec/s__ssd.csv,0.700177116396001,82481.95358695759,32817796812.063374,3.525186061859131
optimized.model,tps__rd_sec/s__ssd.csv,nan,210.48895263671875,44305.59918210283,0.07498407363891602
convex.model,tps__rd_sec/s__ssd.csv,nan,462.1694030761719,213600.55713978503,0.07300996780395508
50_50_LSTM.model,tps__rd_sec/s__ssd.csv,nan,723.8445434570312,523950.923092518,0.06725478172302246
concave.model,tps__rd_sec/s__ssd.csv,nan,520.8109436035156,271244.03897718433,0.07522463798522949
sin.model,tps__rd_sec/s__ssd.csv,nan,240.23797607421875,57714.2851482369,0.06876993179321289
trend_up.model,tps__rd_sec/s__ssd.csv,nan,486.6602478027344,236838.19679141883,0.07742619514465332
all_model.model,tps__rd_sec/s__ssd.csv,nan,305.2181701660156,93158.13139949087,0.07584953308105469
trend_down.model,tps__rd_sec/s__ssd.csv,nan,792.0,627264.0,0.0757913589477539
optimized+misc.model,tps__rd_sec/s__ssd.csv,nan,153.86236572265625,23673.627585772425,0.06534886360168457
const.model,tps__rd_sec/s__ssd.csv,nan,792.0,627264.0,0.07641148567199707
all_misc.model,tps__rd_sec/s__ssd.csv,nan,226.4046630859375,51259.07146705687,0.06589603424072266
tps_5_model,tps__rd_sec/s__ssd.csv,nan,15.25494384765625,232.71331179514527,0.06499195098876953
ssd_tps_5_model,tps__rd_sec/s__ssd.csv,nan,5.98114013671875,35.77403733506799,0.07711672782897949
hdd_tps_5_model,tps__rd_sec/s__ssd.csv,nan,494.99407958984375,245019.13882899657,0.06584715843200684
ssd_await_5_model,tps__rd_sec/s__ssd.csv,nan,613.1201019287109,375916.2593890729,0.06405401229858398
hdd_await_5_model,tps__rd_sec/s__ssd.csv,nan,440.2066650390625,193781.90794481337,0.06598258018493652
